dianping_id,dianping_url,name,category,photo_url,rating_flavor,rating_environ,rating_service,address,price_per_person,phone_number,lat,lng
97507597,http://www.dianping.com/shop/97507597,阿斯牛牛●野菜铜火锅(新会展店),火锅,https://img.meituan.net/msmerchant/38f7b71285eb4d20e0325cbaae14ad86120213.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,7.9,7.6,7.6,世纪城路200号附一号,N/A,028-87967755,30.56253578193588,104.07112179808293
67116108,http://www.dianping.com/shop/67116108,潮牛日记潮汕牛肉火锅(奥克斯广场店),火锅,https://img.meituan.net/msmerchant/bc63de229d21db35d4451f99f8343ccb49752.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,8.1,8.3,8.3,锦城大道666号奥克斯广场西区4层,88,028-68731818,30.578803206220233,104.059863924219
32501307,http://www.dianping.com/shop/32501307,重庆蜀镇老火锅(新北店),火锅,http://p1.meituan.net/merchantpic/0943a99c34e60926babe3e3c549e096b93580.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,8.9,8.1,8.2,创业路221号(成雅高速桥下),75,028-85188668,30.611594492359377,104.03403254935624
11564698,http://www.dianping.com/shop/11564698,黄记煌三汁焖锅(环球中心店),火锅,http://p1.meituan.net/mogu/90ab092e4c013134a0277045d26a414615791.png%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.7,7.7,7.4,天府大道1700号(新世纪环球购物中心F4-B14\16号),95,028-68731766,30.572574736368626,104.06227243577997
20683275,http://www.dianping.com/shop/20683275,城门口老火锅(复城国际店),火锅,https://img.meituan.net/msmerchant/699537e6c6e23c0041051b85fff5f399201986.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,8.6,8.3,8.3,益州大道中段722号复城国际2层,71,028-85977112,30.552589028427853,104.05310096876997
24018473,http://www.dianping.com/shop/24018473,味蜀吾老火锅(天府新谷店),火锅,http://qcloud.dpfile.com/pc/1RsHC2xgvuLRDmmiv0OwqSbwYkhiI98htj-w-keYoFI3PHbpIrPl0eqmuwzaVMJC52lfszCzH6kCpIe1c2_41Q.jpg,7.5,8.4,8,成汉南路68号天府新谷,91,028-83239005,30.588732847341696,104.0522443559281
92182939,http://www.dianping.com/shop/92182939,芝生堂鲜汤锅(象南里店),火锅,https://img.meituan.net/msmerchant/32d21fa336946bc4739fccba10d4275027691.png%40280w_212h_1e_1c_1l%7Cwatermark%3D0,9.1,9.1,9.1,万象南路669号,89,028-65271929,30.588960999699808,104.04758394556605
92921579,http://www.dianping.com/shop/92921579,西游后.欢乐鱼片,火锅,https://img.meituan.net/msmerchant/468d1457b8546b8dcdd39e662da8286e307305.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,9,9.1,8.6,天府二街1033号建发鹭洲国际鹭洲里6号楼3楼36号(滑滑梯旁),68,028-85938391,30.55281037258838,104.03877391527575
92176160,http://www.dianping.com/shop/92176160,享月·汤皇,火锅,http://p1.meituan.net/mogu/22b5bb68ac198300887e4baef78e4e6949609.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,9.1,9.1,9,万象南路象南里669号2栋附130,155,028-83395597,30.5882502386922,104.04759594673793
92125806,http://www.dianping.com/shop/92125806,生如夏花泰式海鲜火锅(鹭洲里店),东南亚菜,https://img.meituan.net/msmerchant/597472f8a2202d2428483dd844b2ee4e1728633.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,9.1,9.2,9.1,天府二街1033号建发鹭洲里闲里四楼4009号(高新伊藤洋华堂旁),105,028-65216683,30.552754199870336,104.04056572871595
92326534,http://www.dianping.com/shop/92326534,销魂掌(鹭洲国际店),火锅,https://img.meituan.net/msmerchant/560a1b936395f4317c6f3dce4133ed7a467653.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,6.9,8,7.2,天府二街1033号建发鹭洲国际9号楼,72,028-83837377,30.552720848978446,104.03943299700468
21025044,http://www.dianping.com/shop/21025044,铜鼎杀牛场原味老火锅(高新店),火锅,https://img.meituan.net/msmerchant/9eced6b706848c34fe07a1cd19b93e432757823.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,8.2,7.9,7.9,锦城大道666号奥克斯广场西区1层中庭,63,028-69906166,30.578979993461335,104.06066848190046
65545429,http://www.dianping.com/shop/65545429,城门口九宫格老火锅(中航店),火锅,https://img.meituan.net/msmerchant/699537e6c6e23c0041051b85fff5f399201986.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,9,8.7,8.8,蜀锦路316号,85,028-85150178,30.5798981070653,104.05905553812867
