dianping_id,dianping_url,name,category,photo_url,rating_flavor,rating_environ,rating_service,address,price_per_person,phone_number,lat,lng
93517547,http://www.dianping.com/shop/93517547,辣手燚鲜菜老火锅,火锅,http://p0.meituan.net/mogu/773028219a67a04336ada22866ec84ac66221.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,8.9,8.7,8.6,欣然二街29号,65,17318688517,30.688974082367356,104.10266659844346
4207721,http://www.dianping.com/shop/4207721,迷尚澳门豆捞(建设路店),火锅,http://p0.meituan.net/mogu/1763ed07331f3f608a1d0b1a65248eae66145.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.8,7.6,7.7,建设路2号国光大厦附楼3-4楼(近伊藤洋华堂),118,028-84326110,30.673074315630537,104.10550685101803
76977917,http://www.dianping.com/shop/76977917,鼎火老火锅,火锅,http://p0.meituan.net/dpmerchantalbum/9e805f307dae161411015240fa49095256387.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,8.6,7.9,8.8,水碾河北二街27号,67,13881892462,30.65258824687948,104.09638451401779
95971397,http://www.dianping.com/shop/95971397,醉巴适重庆朝天门火锅,火锅,https://img.meituan.net/msmerchant/b4d96ea5753445501d11689af87fecf4141656.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,9,9.1,9,和美东路177号附15号2楼,71,028-83511601,30.630631106186037,104.15358744701611
73592634,http://www.dianping.com/shop/73592634,码头故事(龙潭店),火锅,http://p0.meituan.net/dpmerchantalbum/8387fdf913281e21291992c6fad872ce362637.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.7,7.9,7.4,华泰路1号望子成龙学校楼下,68,028-84202977,30.701341373216064,104.16417179215695
74518818,http://www.dianping.com/shop/74518818,巴色鱼捞(建设路店),火锅,http://p1.meituan.net/dpmerchantalbum/e0c85fb66484d238dfd23760188cd91257958.jpeg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.3,7.8,7.4,建设路龙湖三千集4楼,87,028-83532249,30.677394083697227,104.10708210298
21201590,http://www.dianping.com/shop/21201590,小龙坎老火锅(双林店),火锅,https://img.meituan.net/msmerchant/a281c91c6f90315fdb14075a6ea1bfcf468315.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,8.6,8.5,8.4,双林北横路109号附8号,81,028-83282532,30.655127580041203,104.10839259246252
96275763,http://www.dianping.com/shop/96275763,三道苗苗鱼火锅(神雕侠侣八里店),火锅,https://img.meituan.net/msmerchant/5847f15d932779877f4ca1405fe417eb451448.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,9.2,9.1,9,八里小区双建路111-113号桃蹊路派出所对面,67,13219073555,30.683522312380113,104.11181992019155
66958504,http://www.dianping.com/shop/66958504,掂档潮汕牛肉火锅(万象城店),火锅,http://p1.meituan.net/msmerchant/a58c6881a054a4a7c29fe780f874f228379083.jpg%40280w_212h_1e_1c_1l%7Cwatermark%3D0,7.7,7.8,7.9,双庆路8号华润万象城商场A区5层,104,028-87321286,30.65166774601419,104.11271182593488
97131060,http://www.dianping.com/shop/97131060,皇记仔姜鲜锅兔(万年场店),火锅,http://p1.meituan.net/mogu/c99fb72c11260fd2f376897559f25fa950677.jpg%40240w_180h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20,7.8,7.3,7.7,双成三路15号附62(华润二十四城锦云府一楼),N/A,028-83522399,30.64645378885317,104.11383974303118
